Name                          PortName
----                          --------
PV43_Ecommerce                10.43.0.39
PV43_DRH                      10.43.0.37
PV43_Custos                   10.43.0.34
PV43_Compras                  10.43.0.38
PV43_Caixa Geral              10.43.0.35
PV43_Atendimento              10.43.0.36
PV38_Servir                   10.38.0.36
PV38_Recebimento              10.38.0.38
PV38_Ecommerce                10.38.0.40
PV38_DRH                      10.38.0.37
PV38_Compras                  10.38.0.34
PV38_Caixa Geral              10.38.0.39
PV38_Atendimento              10.38.0.35
PV37_Fat2                     10.37.0.35
PV37_Fat1                     10.37.0.34
PV35_Servir                   10.35.0.36
PV35_Nota Fiscal              10.35.0.35
PV35_Ecommerce                10.35.0.41
PV35_DRH                      10.35.0.39
PV35_CPD                      10.35.0.38
PV35_Caixa Geral              10.35.0.34
PV35_Atendimento              10.35.0.37
PV34_Servir                   10.34.0.37
PV34_Custos                   10.34.0.38
PV34_CPD                      10.34.0.34
PV34_Atendimento              10.34.0.36
PV33_RH                       10.33.0.36
PV33_CPD                      10.33.0.35
PV33_Atendimento              10.33.0.34
PV30_Gerencia Comercial       10.30.0.41
PV30_Crediário                10.30.0.35
PV30_Compras                  10.30.0.34
PV30_Caixa Geral              10.30.0.42
PV29_teste JUI                10.29.0.40
PV29_Gerencia                 10.29.0.37
PV29_CPD                      10.29.0.34
PV29_Caixa Geral              10.29.0.36
PV27_Servir                   10.27.0.39
PV27_Ecommerce                10.27.0.38
PV27_Custos                   10.27.0.37
PV27_Compras                  10.27.0.34
PV27_Caixa Geral              10.27.0.36
PV27_Atendimento              10.27.0.35
PV26_CPD                      10.26.0.34
PV26_Caixa Geral              10.26.0.36
PV26_Atendimento              10.26.0.35
PV25_Trafego                  10.25.0.34
PV25_Servico                  10.25.0.36
PV25_Escritório               10.25.0.35
PV23_CPD                      10.23.0.35
PV23_Atendimento              10.23.0.34
PV22_Servir                   10.22.0.40
PV22_Gerencia                 10.22.0.39
PV22_Ecommerce                10.22.0.34
PV22_DRH                      10.22.0.35
PV22_CPD                      10.22.0.37
PV22_Construmil               10.22.0.38
PV22_Caixa Geral              10.22.0.45
PV22_Atendimento              10.22.0.36
PV21_Servir                   10.21.0.34
Pv21_DRH                      10.21.0.36
PV21_Custos                   10.21.0.35
PV20_Servir                   10.20.0.36
PV20_Nota Fiscal              10.20.0.34
